Пол;Нуждается в общежитии;Иностранное гражданство;Школа;Вид приема;Набор ОП;Сумма баллов;р.я;инф;мат;физ;Баллы за индивидуальные достижения;Сумма баллов за индивидуальные достижения;Год поступления
М;да;;"ГАПОУ Самарской области ""Тольяттинский машиностроительный колледж"" г.о. Тольятти Самарская область, Россия, г. Тольятти (63), обл. Самарская";Общий конкурс;11.05.01 Радиоэлектронные системы и комплексы;172;59;;50;58;1. Диплом о среднем профессиональном образовании с отличием — 5;5;2018
М;да;;"ГАПОУ Самарской области ""Тольяттинский электротехнический техникум"" г. Тольятти, Россия, г. Тольятти (63), обл. Самарская";Общий конкурс;11.03.04 Электроника и наноэлектроника;169;65;;45;51;"1. Победитель/призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых МГУ, СПбГУ, университетами, участвующими в проекте «Проект 5-100», НИУ и федеральными университетами, опорными вузами — 3
2. Диплом о среднем профессиональном образовании с отличием — 5";8;2018
М;нет;;"ГБНОУ Самарской области ""Академия для одаренный детей (Наяновой)"", Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;246;94;;78;74;;0;2020
Ж;нет;;"ГБНОУ Самарской области ""Академия для одаренных детей (Наяновой)"", Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;234;82;;78;66;"1. Аттестат о среднем общем образовании с отличием — 5
2. Участник заключительного этапа Многопрофильной инженерной олимпиады ""Звезда"" — 3";8;2020
М;нет;;"ГБНОУ Самарской области ""Академия для одаренных детей (Наяновой)"", Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;213;85;;76;52;;0;2020
М;нет;;"ГБНОУ Самарской области ""Академия для одаренных детей (Наяновой)"", Россия, г. Самара (63), обл. Самарская";По договору;02.03.03 Математическое обеспечение и администрирование информационных систем;204;82;;62;60;;0;2020
Ж;нет;;"ГБНОУ Самарской области ""Академия для одаренных детей (Наяновой)"", Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.03 Математическое обеспечение и администрирование информационных систем;219;85;;76;58;;0;2020
Ж;да;;"ГБНОУ Самарской области ""Академия для одаренных детей (Наяновой)"", Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;246;96;;74;66;"1. Победители и призёры регионального этапа Всероссийской олимпиады школьников — 5
2. Победители и призёры регионального этапа Всероссийской олимпиады школьников — 5";10;2019
Ж;нет;;"ГБНОУ Самарской области ""Академия для одаренных детей (Наяновой)"", Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.05.01 Фундаментальные математика и механика;207;67;;74;66;;0;2019
М;да;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Нефтегорск (63), обл. Самарская, р-н Нефтегорский";Общий конкурс;09.03.01 Информатика и вычислительная техника;242;87;;76;74;1. Аттестат о среднем общем образовании с отличием — 5;5;2018
Ж;нет;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;281;96;;90;85;"1. Победитель/призёр заключительных этапов олимпиад школьников — 10
2. Аттестат о среднем общем образовании с отличием — 5
3. Победители и призёры регионального этапа Всероссийской олимпиады школьников — 5";10;2020
М;да;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.04 Электроника и наноэлектроника;209;70;;72;64;"1. Участник заключительного этапа Многопрофильной инженерной олимпиады ""Звезда"" — 3";3;2020
М;нет;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.03 Математическое обеспечение и администрирование информационных систем;232;82;;80;70;;0;2020
М;да;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;245;87;;86;72;;0;2019
М;да;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;265;87;;94;84;;0;2019
М;нет;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;227;76;;76;72;"1. Участник заключительного этапа Многопрофильной инженерной олимпиады ""Звезда"" — 3";3;2019
М;да;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.05.01 Радиоэлектронные системы и комплексы;232;91;;80;61;;0;2019
Ж;нет;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;246;85;;82;74;1. Аттестат о среднем общем образовании с отличием — 5;5;2019
Ж;да;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;246;94;;80;72;;0;2019
М;нет;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;271;91;;86;94;;0;2019
М;нет;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Без ВИ в рамках КЦП;01.03.02 Прикладная математика и информатика;0;;;;;"1. Победители и призёры регионального этапа Всероссийской олимпиады школьников — 5
2. Победитель/призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых МГУ, СПбГУ, университетами, участвующими в проекте «Проект 5-100», НИУ и федеральными университетами, опорными вузами — 3";8;2019
Ж;нет;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.05.01 Фундаментальные математика и механика;205;80;;68;57;;0;2018
Ж;нет;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;03.03.01 Прикладные математика и физика;229;89;;68;72;;0;2018
М;да;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;03.03.01 Прикладные математика и физика;231;85;;70;76;;0;2018
М;нет;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.05.01 Фундаментальные математика и механика;183;70;;56;57;;0;2018
М;да;;"ГБНОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.05.01 Радиоэлектронные системы и комплексы;200;64;;76;60;;0;2018
Ж;нет;;ГБОУ  Самарской области гимназию №1 имени Н.И.Ферапонтова города Новокуйбышевска городского округа Новокуйбышевск Самарской области, Россия, г. Новокуйбышевск (63), обл. Самарская;Общий конкурс;01.03.02 Прикладная математика и информатика;251;87;;78;81;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;да;;ГБОУ  Самарской области СОШ №1 п.г.т Безенчук муниципального района Безенчукский Самарской области, Россия, пгт. Безенчук (63), обл. Самарская, р-н Безенчукский;Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;267;89;;84;89;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;да;;"ГБОУ ""Губернаторский многопрофильный лицей-интернат для одарённых детей Оренбуржья"", Россия, г. Оренбург (56), обл. Оренбургская";Общий конкурс;09.03.01 Информатика и вычислительная техника;225;70;;80;70;1. Победители и призёры регионального этапа Всероссийской олимпиады школьников — 5;5;2019
М;да;;"ГБОУ ""Курганский областной лицей-интернат для одаренных детей"", Россия, г. Курган (45), обл. Курганская";Общий конкурс;11.03.03 Конструирование и технология электронных средств;172;60;;50;52;1. Финалист Всероссийского конкурса юных исследователей «Спутник» — 10;10;2020
М;нет;;"ГБОУ ВО Самарской области ""Самарская государственная областная академия (Наяновой)"", Россия, г. Самара (63), обл. Самарская";По договору;01.03.02 Прикладная математика и информатика;206;82;;72;52;;0;2019
М;нет;;"ГБОУ ВО Самарской области ""Самарская государственная областная академия (Наяновой)"", Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;243;91;;68;84;;0;2018
М;нет;;"ГБОУ ВО Самарской области ""Самарская государственная областная академия (Наяновой)"", Россия, г. Самара (63), обл. Самарская";По договору;02.03.02 Фундаментальная информатика и информационные технологии;197;71;;72;54;;0;2018
М;нет;;"ГБОУ ВО Самарской области ""Самарская государственная областная академия (Наяновой)"", Россия, г. Самара (63), обл. Самарская";Целевой прием;11.03.04 Электроника и наноэлектроника;159;65;;50;44;;0;2018
М;нет;;"ГБОУ ВО Самарской области ""Самарская государственная областная академия (Наяновой)"", Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;236;94;;80;62;;0;2018
Ж;да;;ГБОУ лицей имени Героя Советского Союза П.И. Викулова городского округа Сызрань Самарской области, Россия, г. Сызрань (63), обл. Самарская;Общий конкурс;09.03.01 Информатика и вычислительная техника;235;94;;72;64;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
Ж;да;;ГБОУ лицей имени Героя Советского Союза П.И. Викулова городского округа Сызрань Самарской области, Россия, г. Сызрань (63), обл. Самарская;Общий конкурс;01.03.02 Прикладная математика и информатика;232;94;;70;68;;0;2018
М;да;;ГБОУ лицей имени Героя Советского Союза П.И. Викулова городского округа Сызрань Самарской области, Россия, г. Сызрань (63), обл. Самарская;Общий конкурс;10.05.01 Компьютерная безопасность;217;85;;72;60;;0;2018
М;да;;ГБОУ Самарской области  СОШ №13 города Жигулевск городского округа Жигулевска Самарской области, Россия, г. Жигулевск (63), обл. Самарская;Общий конкурс;01.03.02 Прикладная математика и информатика;220;80;;76;61;1. Победитель/призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых МГУ, СПбГУ, университетами, участвующими в проекте «Проект 5-100», НИУ и федеральными университетами, опорными вузами — 3;3;2018
Ж;да;;"ГБОУ Самарской области  СОШ №9 ""Центр образования"" городского округа Октябрьск Самарской области, Россия, г. Октябрьск (63), обл. Самарская";Общий конкурс;03.03.01 Прикладные математика и физика;218;78;;78;57;1. Аттестат о среднем общем образовании с отличием — 5;5;2019
М;да;;"ГБОУ Самарской области ""Самарский казачий кадетский корпус"", Россия, г. Самара (63), обл. Самарская";В рамках квоты лиц, имеющих особые права;01.03.02 Прикладная математика и информатика;216;76;;74;66;;0;2019
Ж;нет;;"ГБОУ Самарской области ""Самарский региональный центр для одаренных детей"" города Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;230;91;;72;67;;0;2018
М;да;;"ГБОУ Самарской области гимназию ""Образовательный центр ""Гармония"" городского округа Отрадный Самарской области, Россия, г. Отрадный (63), обл. Самарская";Общий конкурс;10.05.01 Компьютерная безопасность;224;82;;68;74;;0;2019
М;да;;"ГБОУ Самарской области гимназию ""Образовательный центр ""Гармония"" городского округа Отрадный Самарской области, Россия, г. Отрадный (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;238;78;;82;78;;0;2019
М;нет;;ГБОУ Самарской области гимназию № 1 имени Н.И. Ферапонтова города Новокуйбышевска городского округа Новокуйбышевск Самарской области, Россия, г. Новокуйбышевск (63), обл. Самарская;Общий конкурс;01.03.02 Прикладная математика и информатика;229;85;;78;66;;0;2020
Ж;нет;;ГБОУ Самарской области гимназию №1 имени Н.И. Ферапонтова города Новокуйбышевска городского округа Новокуйбышевск Самарской области, Россия, г. Новокуйбышевск (63), обл. Самарская;Общий конкурс;12.03.05 Лазерная техника и лазерные технологии;185;85;;45;55;;0;2020
М;нет;;ГБОУ Самарской области гимназию №1 имени Н.И.Ферапонтова города Новокуйбышевска городского округа Новокуйбышевск Самарской области, Россия, г. Новокуйбышевск (63), обл. Самарская;Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;235;89;;74;72;;0;2018
М;нет;;ГБОУ Самарской области гимназию города Сызрани городского округа Сызрань Самарской области, Россия, г. Сызрань (63), обл. Самарская;Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;291;96;;88;97;"1. Аттестат о среднем общем образовании с отличием — 5
2. Лауреат Самарской научно-образовательной  программы «Взлет» — 3
3. Победитель и/или призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых Самарским университетом — 5";10;2020
М;да;;ГБОУ Самарской области гимназию имени Заслуженного учителя Российской Федерации Сергея Васильевича Байменова г. Похвистнево г.о. Похвистнево Самарской области, Россия, г. Самара (63), обл. Самарская;Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;268;80;;94;89;1. Победитель и/или призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых Самарским университетом — 5;5;2020
М;нет;;ГБОУ Самарской области гимназию имени Заслуженного учителя Российской Федерации Сергея Васильевича Байменова города Похвистнево городского округа Похвистнево Самарской области, Россия, г. Похвистнево (63), обл. Самарская;Общий конкурс;01.03.02 Прикладная математика и информатика;236;82;;82;72;;0;2020
Ж;нет;;ГБОУ Самарской области гимназию имени Заслуженного учителя Российской Федерации Сергея Васильевича Байменова города Похвистнево городского округа Похвистнево Самарской области, Россия, г. Похвистнево (63), обл. Самарская;Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;236;85;;86;60;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;ГБОУ Самарской области гимназию имени Заслуженного учителя Российской Федерации Сергея Васильевича Байменова города Похвистнево городского округа Похвистнево Самарской области, Россия, г. Похвистнево (63), обл. Самарская;Общий конкурс;11.05.01 Радиоэлектронные системы и комплексы;207;73;;76;58;;0;2020
М;да;;ГБОУ Самарской области гимназию имени Заслуженного учителя Российской Федерации Сергея Васильевича Байменова города Похвистнево городского округа Похвистнево Самарской области, Россия, г. Похвистнево (63), обл. Самарская;Общий конкурс;02.03.03 Математическое обеспечение и администрирование информационных систем;231;70;;80;76;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;да;;ГБОУ Самарской области гимназию имени Заслуженного учителя Российской Федерации Сергея Васильевича Байменова города Похвистнево городского округа Похвистнево Самарской области, Россия, г. Похвистнево (63), обл. Самарская;Общий конкурс;11.03.04 Электроника и наноэлектроника;161;60;;50;51;;0;2020
М;да;;ГБОУ Самарской области гимназию имени Заслуженного учителя Российской Федерации Сергея Васильевича Байменова города Похвистнево городского округа Похвистнево Самарской области, Россия, г. Похвистнево (63), обл. Самарская;Общий конкурс;09.03.01 Информатика и вычислительная техника;223;72;;76;70;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;да;;"ГБОУ Самарской области гимназия ""Образовательный центр ""Гармония"" городского округа Отрадный Самарской области, Россия, г. Отрадный (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;239;98;;74;62;1. Аттестат о среднем общем образовании с отличием — 5;5;2018
Ж;нет;;ГБОУ Самарской области гимназия №1 имени Н.И. Ферапонтова города Новокуйбышевска городского округа Новокуйбышевск Самарской области, Россия, г. Новокуйбышевск (63), обл. Самарская;Общий конкурс;01.05.01 Фундаментальные математика и механика;239;100;;70;64;1. Аттестат о среднем общем образовании с отличием — 5;5;2018
М;нет;;ГБОУ Самарской области гимназия №1 имени Н.И.Ферапонтова города Новокуйбышевска городского округа Новокуйбышевск Самарской области, Россия, г. Новокуйбышевск (63), обл. Самарская;Общий конкурс;09.03.01 Информатика и вычислительная техника;242;89;;72;76;1. Аттестат о среднем общем образовании с отличием — 5;5;2018
М;нет;;ГБОУ Самарской области гимназия №1 имени Н.И.Ферапонтова города Новокуйбышевска городского округа Новокуйбышевск Самарской области, Россия, г. Новокуйбышевск (63), обл. Самарская;Общий конкурс;11.03.04 Электроника и наноэлектроника;169;76;;45;46;1. Золотой знак отличия ГТО — 2;2;2018
М;да;;ГБОУ Самарской области лицей (экономический) с.Исаклы муниципального района Исаклинский Самарской области, Россия, с. Исаклы (63), обл. Самарская, р-н Исаклинский;Общий конкурс;01.03.02 Прикладная математика и информатика;237;87;;76;74;;0;2018
М;нет;;"ГБОУ Самарской области общеобразовательная школа-интернат среднего общего образования № 5 с углубленным изучением отдельных предметов  ""Образовательный центр ""Лидер"" города Кинеля городского округа Кинель Самарской области, Россия, г. Кинель (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;233;85;;70;68;"1. Аттестат о среднем общем образовании с отличием — 5
2. Участник заключительных этапов олимпиад школьников — 5";10;2018
М;нет;;"ГБОУ Самарской области общеобразовательная школа-интернат среднего общего образования № 5 с углубленным изучением отдельных предметов ""Образовательный центр ""Лидер"" города Кинеля городского округа Кинель Самарской области, Россия, г. Кинель (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;265;82;;80;95;"1. Аттестат о среднем общем образовании с отличием — 5
2. Лауреат Самарской научно-образовательной  программы «Взлет» — 3";8;2020
М;нет;;"ГБОУ Самарской области общеобразовательная школа-интернат среднего общего образования № 5 с углубленным изучением отдельных предметов ""Образовательный центр ""Лидер"" города Кинеля городского округа Кинель Самарской области, Россия, г. Кинель (63), обл. Самарская";Общий конкурс;11.03.01 Радиотехника;197;69;;70;58;;0;2018
М;нет;;"ГБОУ Самарской области общеобразовательную школу-интернат среднего общего образования № 5 с углубленным изучением отдельных предметов ""Образовательный центр ""Лидер"" города Кинеля городского округа Кинель Самарской области, Россия, г. Кинель (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;255;78;;82;87;"1. Аттестат о среднем общем образовании с отличием — 5
2. Участник заключительного этапа Многопрофильной инженерной олимпиады ""Звезда"" — 3";8;2020
Ж;нет;;ГБОУ Самарской области СОШ  с. Красноармейское муниципального района Красноармейский Самарской области, Россия, с. Красноармейское (63), обл. Самарская, р-н Красноармейский;Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;267;94;;82;86;1. Аттестат о среднем общем образовании с отличием — 5;5;2018
М;нет;;"ГБОУ Самарской области СОШ "" Образовательный центр ""Южный город"" пос. Придорожный муниципального района Волжский Самарской области, Россия, п. Придорожный (63), обл. Самарская, р-н Волжский";Общий конкурс;09.03.01 Информатика и вычислительная техника;238;80;;84;74;;0;2019
М;нет;;"ГБОУ Самарской области СОШ "" Образовательный центр ""Южный город"" пос. Придорожный муниципального района Волжский Самарской области, Россия, п. Придорожный (63), обл. Самарская, р-н Волжский";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;232;78;;68;86;;0;2018
М;нет;;"ГБОУ Самарской области СОШ ""Образовательный центр ""Южный город"" пос.Придорожный муниципального района Волжский Самарской области, Россия, п. Придорожный (63), обл. Самарская, р-н Волжский";Общий конкурс;01.05.01 Фундаментальные математика и механика;215;78;;80;52;1. Победитель и/или призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых Самарским университетом — 5;5;2020
М;нет;;"ГБОУ Самарской области СОШ ""Образовательный центр имени В.Н. Татищева"" с. Челно-Вершины муниципального района Челно-Вершинский Самарской области, Россия, с. Челно-Вершины (63), обл. Самарская, р-н Челно-Вершинский";Общий конкурс;03.03.01 Прикладные математика и физика;235;85;;76;74;;0;2019
М;да;;"ГБОУ Самарской области СОШ ""Образовательный центр имени В.Н. Татищева"" с. Челно-Вершины муниципального района Челно-Вершинский Самарской области, Россия, с. Челно-Вершины (63), обл. Самарская, р-н Челно-Вершинский";Общий конкурс;11.03.03 Конструирование и технология электронных средств;185;78;;56;51;;0;2019
М;нет;;"ГБОУ Самарской области СОШ ""Образовательный центр имени В.Н. Татищева"" с. Челно-Вершины муниципального района Челно-Вершинский Самарской области, Россия, с. Челно-Вершины (63), обл. Самарская, р-н Челно-Вершинский";Общий конкурс;10.05.01 Компьютерная безопасность;231;82;;74;70;1. Аттестат о среднем общем образовании с отличием — 5;5;2019
